RANK,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,REB,AST,STL,BLK
19,Kevin Durant,PHX,62,2265,1647,592,1124,52.7,160,372,43,303,361,374,263,50,77
20,Jaren Jackson Jr.,MEM,74,2207,1641,592,1213,48.8,146,389,37.5,311,398,417,148,92,113
21,Pascal Siakam,IND,78,2548,1578,613,1182,51.9,126,324,38.9,226,308,540,263,70,42
22,Darius Garland,CLE,75,2301,1544,554,1174,47.2,212,529,40.1,224,255,214,506,91,11
23,Coby White,CHI,74,2450,1509,508,1121,45.3,216,584,37,277,307,273,330,69,16
24,Jalen Williams,OKC,69,2237,1490,565,1168,48.4,124,340,36.5,236,299,369,354,111,46
25,Austin Reaves,LAL,73,2550,1475,477,1037,46,200,531,37.7,321,366,329,421,81,22
26,De'Aaron Fox,SAS,62,2241,1459,539,1163,46.3,118,381,31,263,318,298,392,91,25
27,Alperen Sengun,HOU,76,2395,1451,567,1143,49.6,21,90,23.3,296,428,786,372,84,61
28,Franz Wagner,ORL,60,2023,1449,537,1161,46.3,104,352,29.5,271,311,342,284,75,21
29,Damian Lillard,MIL,58,2093,1447,444,992,44.8,197,524,37.6,362,393,272,410,70,10
30,Mikal Bridges,NYK,82,3036,1444,592,1183,50,164,463,35.4,96,118,259,306,75,43
31,Jamal Murray,DEN,67,2418,1436,531,1121,47.4,156,397,39.3,218,246,261,403,91,33
32,Bam Adebayo,MIA,78,2674,1410,540,1113,48.5,79,221,35.7,251,328,749,337,98,53
33,Luka Doncic,LAL,50,1769,1408,461,1025,45,177,481,36.8,309,395,409,383,89,21
34,Jaylen Brown,BOS,63,2158,1398,518,1118,46.3,116,358,32.4,246,322,368,286,73,19
34,Michael Porter Jr.,DEN,77,2593,1398,528,1048,50.4,193,489,39.5,149,194,540,165,50,38
36,Jordan Poole,WAS,68,2001,1391,457,1057,43.2,235,622,37.8,242,274,203,303,86,27
37,Tyrese Maxey,PHI,52,1960,1369,477,1091,43.7,161,478,33.7,254,289,174,317,91,21
38,Tyrese Haliburton,IND,73,2450,1359,476,1006,47.3,218,562,38.8,189,222,258,673,105,49
39,Nikola Vucevic,CHI,73,2278,1349,550,1038,53,129,321,40.2,120,149,735,256,61,52
40,Anfernee Simons,POR,70,2292,1348,479,1125,42.6,215,593,36.3,175,194,189,337,60,5
